alcohol,appellation,bottle size,category,date published,designation,importer,price,taster,url,user avg rating,variety,wine_desc,wine_name,wine_points,winery
14.2%,"Lake County, Mendocino/Lake Counties, California, US",750 ml,Red,9/1/2017,Home Ranch Reserve,,"$32,  Buy Now",Jim Gordon,http://www.winemag.com/buying-guide/shannon-ridge-2014-home-ranch-reserve-cabernet-sauvignon-lodi,Not rated yet [Add Your Review],Cabernet Sauvignon,"An unabashedly oaky wine, this starts with aromas of toasted bread, maple syrup and baking spices, then moves to red and black cherry flavors, with a sweet sensation on the palate. The texture is moderately tannic but easy to sip.",Shannon Ridge 2014 Home Ranch Reserve Cabernet Sauvignon (Lake County),88.0,Shannon Ridge
13.5%,"Puisseguin Saint-Émilion, Bordeaux, France",750 ml,Red,9/1/2017,,T. Elenteny Imports,"$25,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-lanbersac-2014-puisseguin-saint-emilion,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"Almost pure Merlot (95%), this wine is richly endowed with generous fruitiness as well as firm tannins. It's a young wine—all fruit and structure at the moment—and it needs to fill out. When it does, it is going to be a ripe generous wine. Drink from 2019.",Château Lanbersac 2014  Puisseguin Saint-Émilion,88.0,Château Lanbersac
13.5%,"Cadillac Côtes de Bordeaux, Bordeaux, France",750 ml,Red,9/1/2017,,T. Elenteny Imports,"$23,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-leon-2014-cadillac-cotes-de-bordeaux,Not rated yet [Add Your Review],Bordeaux-style Red Blend,This is balanced and ripe with some firm tannins and spice. The blackberry fruit has a stalky character with plenty of acidity as well as a dry core of tannin. The wine will develop well over the next few years to create a ripe and gently structured wine. Drink from 2019.,Château Léon 2014  Cadillac Côtes de Bordeaux,88.0,Château Léon
14.5%,"Bordeaux Supérieur, Bordeaux, France",750 ml,Red,9/1/2017,,Undiscovered Wines,"$20,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-malbat-2015-bordeaux-superieur,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"With spice, ripe tannins and black currants, this is a dense wine with a good future. There is a firm background to this wine to set against the fruitiness. Drink from 2018.",Château Malbat 2015  Bordeaux Supérieur,88.0,Château Malbat
13.5%,"Bordeaux Supérieur, Bordeaux, France",750 ml,Red,9/1/2017,,"Fruit of the Vines, Inc","$18,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-marechaux-2015-bordeaux-superieur,Not rated yet [Add Your Review],Bordeaux-style Red Blend,Here's a good blend: a rich wine with fine tannins and attractive fruits. There is a jammy character to the ripe fruit and generous tannins. Give this wine until 2019.,Château Maréchaux 2015  Bordeaux Supérieur,88.0,Château Maréchaux
13%,"Bordeaux Clairet, Bordeaux, France",750 ml,Red,9/1/2017,,1_No Submitting Co,"N/A,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-penin-2016-bordeaux-clairet,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"Balanced and fruity, this is a lightly structured wine. It has spice and ripe red-berry fruits in a warm strawberry character. Drink now.",Château Penin 2016  Bordeaux Clairet,88.0,Château Penin
13.5%,"Bordeaux Supérieur, Bordeaux, France",750 ml,Red,9/1/2017,Cuvée Sarah,Misa Imports,"$16,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-petit-freylon-2015-cuvee-sarah-bordeaux-superieur,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"The wine is smoky with plenty of toastiness. At the same time, the bright red fruits are right up-front to give the wine its crispness and acidity. Drink this wine from 2018.",Château Petit-Freylon 2015 Cuvée Sarah  (Bordeaux Supérieur),88.0,Château Petit-Freylon
13.5%,"Bordeaux Supérieur, Bordeaux, France",750 ml,Red,9/1/2017,,W Direct,"$24,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-roux-de-beauces-2015-bordeaux-superieur,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"Romain Roux, the latest in the family to run the southern Bordeaux estate, has delivered a ripe spicy wine from this excellent vintage. At this stage, the wood-aging flavors are prominent, but they will certainly integrate into the ripe berry fruits. With final acidity, the wine has a good future. Drink from 2019.",Château Roux de Beauces 2015  Bordeaux Supérieur,88.0,Château Roux de Beauces
14%,"Bordeaux, Bordeaux, France",750 ml,Red,9/1/2017,Cuvée Prestige,Vision Wine Brands,"$11,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-vieux-manoir-2015-cuvee-prestige-bordeaux,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"The wine has plenty of structure as well as rich black fruit. It is dense, firm with tannins and ripe. Drink this fine fruity wine from early 2018.",Château Vieux Manoir 2015 Cuvée Prestige  (Bordeaux),88.0,Château Vieux Manoir
13.5%,"Bordeaux, Bordeaux, France",750 ml,Red,9/1/2017,Réserve Merlot-Cabernet Sauvignon,Cheval Quancard,"$15,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/cheval-quancard-2015-reserve-merlot-cabernet-sauvignon-bordeaux,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"Marked by its five months in wood, this warm, ripe and spicy wine is packed with rich black fruits and light generous tannins. It is a chunky wine, solid with its dry core while full and warm with its fruits. Drink now.",Cheval Quancard 2015 Réserve Merlot-Cabernet Sauvignon  (Bordeaux),88.0,Cheval Quancard
