alcohol,appellation,bottle size,category,date published,designation,importer,price,taster,url,user avg rating,variety,wine_desc,wine_name,wine_points,winery
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Cannubi,Oliver McCrum Wines,"$60,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/brezza-2013-cannubi-barolo,Not rated yet [Add Your Review],Nebbiolo,"One of the best expressions from the classic Cannubi vineyard area, this fragrant red is all about finesse, opening with enticing scents of perfumed berry, iris, rose, chopped herb, baking spice and new leather. The vibrant palate boasts structure as well as an almost ethereal elegance, delivering succulent red cherry, crushed strawberry, cinnamon and licorice wrapped in refined tannins. Bright acidity lends impeccable balance. Drink from 2021 through 2043.",Brezza 2013 Cannubi  (Barolo),98.0,Brezza
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Brunate,Vinifera Imports,"N/A,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/giuseppe-rinaldi-2013-brunate-barolo,Not rated yet [Add Your Review],Nebbiolo,"Classic Nebbiolo aromas of new leather, menthol, pressed rose, perfumed wild berry and chopped aromatic herb continuously lift out of the glass. The luminous, delicious palate delivers layers of succulent Marasca cherry, crushed raspberry, cinnamon and star anise set against a backbone of youthfully assertive but fine tannins. Bright acidity gives it wonderful balance while a note of pipe tobacco graces the lingering finish. Drink 2028–2048.",Giuseppe Rinaldi 2013 Brunate  (Barolo),98.0,Giuseppe Rinaldi
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Vigna Rionda Riserva,Vineyard Brands,"$151,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/massolino-2011-vigna-rionda-riserva-barolo,Not rated yet [Add Your Review],Nebbiolo,"From one of the most celebrated vineyards in the entire Barolo denomination, this gorgeous wine boasts captivating aromas of new leather, underbrush, ripe berry, tobacco, a whiff of tilled soil and a balsamic note. Seamlessly combining elegance and structure, the long, compelling palate delivers layers of juicy black cherry, ripe raspberry, licorice and clove alongside a backbone of noble tannins. It's already a fantastic showing and will age wonderfully for decades. Drink 2021–2046.",Massolino 2011 Vigna Rionda Riserva  (Barolo),98.0,Massolino
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Monvigliero,Bacchanal Wine Imports,"$70,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/comm-g-b-burlotto-2013-monvigliero-barolo,Not rated yet [Add Your Review],Nebbiolo,"Always the firm's showstopper and one of the best expressions of this celebrated vineyard, the 2013 doesn't disappoint. It opens with alluring scents of wild red berry, Alpine herb, truffle, graphite and new leather while the dazzling palate boasts Marasca cherry, clove, cinnamon, tobacco and a balsamic note. It already shows remarkable finesse and complexity but still needs years to develop to its full and impressive potential. Drink from 2025 through 2050.",Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),98.0,Comm. G. B. Burlotto
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Badarina,Massanois Imports,"$75,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/grimaldi-bruna-2013-badarina-barolo,Not rated yet [Add Your Review],Nebbiolo,"A balsamic note of menthol, dark culinary spice, crushed herb, new leather and wild berry aromas come together in the glass. Firmly structured but extraordinarily refined, the palate doles out red cherry, crushed strawberry, tobacco and cinnamon set against tightly woven refined tannins. Lively acidity lends balance and energy while a licorice note wraps around the lingering finish. Drink 2025–2043.",Grimaldi Bruna 2013 Badarina  (Barolo),97.0,Grimaldi Bruna
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Parafada,Vineyard Brands,"$97,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/massolino-2013-parafada-barolo,Not rated yet [Add Your Review],Nebbiolo,"Aromas of new leather, ripe dark berry, vineyard dust and a whiff of smoky flint waft out of the glass along with floral and balsamic notes. The full-bodied palate shows great energy and intensity, delivering juicy Marasca cherry, ripe cranberry, white pepper and clove framed in youthfully assertive, refined tannins and bright acidity. A mineral note wraps up the lingering finish. With time, this will develop even greater complexity. Drink 2023–2053.",Massolino 2013 Parafada  (Barolo),97.0,Massolino
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Le Vigne,Vintus LLC,"$155,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/sandrone-2013-le-vigne-barolo,Not rated yet [Add Your Review],Nebbiolo,"Alluring scents of blue flower, rose petal, woodland berry, baking spice and new leather take center stage along with a balsamic note of menthol. The delicious enveloping palate doles out juicy morello cherry, crushed raspberry, cinnamon and licorice framed in refined tannins and bright acidity. It's polished and already tempting but hold for even more complexity. Drink 2020–2038.",Sandrone 2013 Le Vigne  (Barolo),97.0,Sandrone
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Bussia,"Skurnik Wines, Inc","$55,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/giacomo-fenocchio-2013-bussia-barolo,Not rated yet [Add Your Review],Nebbiolo,"Rose, iris, wild berry and baking spice aromas merge with scents of new leather and a balsamic menthol note on this stunning and classically crafted Barolo. The structured polished palate delivers juicy Marasca cherry, crushed raspberry, pipe tobacco and licorice framed in tightly knit noble tannins and bright acidity. It's going to just keep getting better and better over the next few decades. Drink from 2023 through 2053.",Giacomo Fenocchio 2013 Bussia  (Barolo),97.0,Giacomo Fenocchio
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Tre Tine,Vinifera Imports,"N/A,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/giuseppe-rinaldi-2013-tre-tine-barolo,Not rated yet [Add Your Review],Nebbiolo,"Delicately fragrant and incredibly refined, this stunning red boasts alluring scents of blue flower, rose, wild berry and a whiff of new leather. It's captivatingly ethereal and elegantly structured, offering crushed strawberry, red cherry, cinnamon and white pepper. It's also impeccably balanced thanks to firm polished tannins and bright acidity. While it's already extremely tempting, hold for even more complexity. Drink 2023–2043.",Giuseppe Rinaldi 2013 Tre Tine  (Barolo),97.0,Giuseppe Rinaldi
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Ravera,Wilson Daniels Ltd,"$82,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/elvio-cogno-2013-ravera-barolo,Not rated yet [Add Your Review],Nebbiolo,"Wild berry, iris, rose and a potpourri of culinary spice aromas emerge on the nose of this stunning red. Radiant and full bodied, the palate is young and primary at this stage but already evokes morello cherry, licorice, pipe tobacco and aromatic herbs. Bright acidity and taut tannins provide impeccable balance and an impressive, age-worthy structure. Drink 2025–2043.",Elvio Cogno 2013 Ravera  (Barolo),97.0,Elvio Cogno
14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red,9/1/2017,Rabajà Riserva,Vias Imports,"$58,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/produttori-del-barbaresco-2011-rabaja-riserva-barbaresco,Not rated yet [Add Your Review],Nebbiolo,"Combining finesse and structure, this impressive wine opens with alluring aromas of mature berry, pressed rose, aromatic herb, star anise, new leather and a balsamic note. The palate shows depth and tension, offering raspberry compote, Marasca cherry, licorice, clove and pipe tobacco alongside taut refined tannins. Hold for even more complexity. Drink 2019–2031.",Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco),97.0,Produttori del Barbaresco
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Aleste,Vintus LLC,"$170,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/sandrone-2013-aleste-barolo,Not rated yet [Add Your Review],Nebbiolo,"Formerly known as Cannubi Boschis, this impressive wine boasts alluring aromas of crushed raspberry, baking spice, chopped mint, violet and woodland berry. The savory elegant palate delivers succulent Marasca cherry, strawberry compote, cinnamon, licorice and a hint of coffee. Fine-grained tannins and bright acidity provide polished support and great balance. Drink 2023–2038.",Sandrone 2013 Aleste  (Barolo),97.0,Sandrone
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Margheria,Vineyard Brands,"$97,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/massolino-2013-margheria-barolo,Not rated yet [Add Your Review],Nebbiolo,"Forest berry, new leather, camphor and crushed herb aromas lead into the radiant structured palate along with cherry, cranberry, clove and white pepper. This is still tightly knit with a youthfully tannic core but it's on track to bloom into a stunner. Drink 2028–2043.",Massolino 2013 Margheria  (Barolo),96.0,Massolino
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Parussi,Vineyard Brands,"$97,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/massolino-2013-parussi-barolo,Not rated yet [Add Your Review],Nebbiolo,"Firmly structured and loaded with energy, this intense red opens with aromas of new leather, pipe tobacco, eucalyptus and a whiff of cake spice. The aromas carry over to the vibrant palate along with raspberry and cherry set against a firm backbone of assertive but refined tannins. Tightly wound and youthfully austere, it still needs time but seems destined to blossom into a beauty. Drink 2025–2043.",Massolino 2013 Parussi  (Barolo),96.0,Massolino
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Prapò,Leonardo LoCascio Selections–The Winebow Group,"$130,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/ceretto-2013-prapo-barolo,Not rated yet [Add Your Review],Nebbiolo,"Lifted aromas of crushed mint, menthol, underbrush and crushed berry are front and center on this impressive wine. It's still young but already shows impeccable pedigree, delivering raspberry compote, juicy Marasca cherry, licorice and clove while assertive but refined tannins and fresh acidity provide balance and an age-worthy structure. Drink 2025–2038.",Ceretto 2013 Prapò  (Barolo),96.0,Ceretto
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Acclivi,Bacchanal Wine Imports,"$60,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/comm-g-b-burlotto-2013-acclivi-barolo,Not rated yet [Add Your Review],Nebbiolo,"Underbrush, wild berry, dark culinary spice, chopped herb and tilled earth are just some of the aromas you'll discover on this gorgeous wine. Impeccably balanced and loaded with finesse, the palate delivers wild raspberry, red cherry, clove, ground white pepper and licorice while radiant acidity and youthfully austere noble tannins provide structure. It already boasts impressive depth but it still needs to fully develop. A gorgeous wine. Drink 2025–2043.",Comm. G. B. Burlotto 2013 Acclivi  (Barolo),96.0,Comm. G. B. Burlotto
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Prapò,David Bowler Wine,"$70,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/schiavenza-2013-prapo-barolo,Not rated yet [Add Your Review],Nebbiolo,"Underbrush, saddle leather, dark berry and culinary spice aromas slowly unfold in the glass. Succulent and full bodied, the firmly structured palate delivers raspberry compote, ripe Marasca cherry, baking spice and pipe tobacco framed in youthfully assertive but noble tannins and bright acidity. A savory mineral note lingers on the finish. This is one for the long haul. Drink 2025–2053.",Schiavenza 2013 Prapò  (Barolo),96.0,Schiavenza
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Villero,Rosenthal Wine Merchant,"$96,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/brovia-2013-villero-barolo,Not rated yet [Add Your Review],Nebbiolo,"Fragrant and full bodied, this textbook Barolo opens with quintessential Nebbiolo aromas of red cherry, rose petal, new leather, dark spice and a balsamic note of menthol. It's still young and taut but already shows great breeding and class, offering Marasca cherry, cranberry, licorice and clove set against a backbone of assertive but refined tannins and bright acidity. Drink 2025–2043.",Brovia 2013 Villero  (Barolo),96.0,Brovia
16%,"Montilla-Moriles, Andalucia, Spain",375 ml,Port/Sherry,9/1/2017,Solera 1927,Jorge Ordoñez Selections,"$30,  Buy Now",Michael Schachner,http://www.winemag.com/buying-guide/alvear-nv-solera-1927-pedro-ximenez-montilla-moriles-249080,Not rated yet [Add Your Review],"Pedro Ximénez, Sherry","One of the world's best PX wines is Solera 1927, the pride of Alvear. Whatever solera stocks went into this bottling were well selected. Aromas of maple and fine wood turn to fig and caramel. Saturation and weight on the palate are expected, but this has some (though not a lot) acidic cut. Deep flavors of fig and Nutella finish with nuttiness and warmth. Drink or hold.",Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),96.0,Alvear
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Bussia Cicala,Massanois Imports,"$150,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/aldo-conterno-2013-bussia-cicala-barolo,Not rated yet [Add Your Review],Nebbiolo,"Aromas of dark berry, iris, menthol and a whiff of oak emerge on this vibrant wine. Firmly structured but loaded with finesse, the palate delivers ripe Marasca cherry, crushed black raspberry, vanilla, savory mineral and thyme alongside fine-grained tannins. A licorice note wraps around the tight finish. This is still primary so be sure to give it time to fully develop. Drink 2025–2045.",Aldo Conterno 2013 Bussia Cicala  (Barolo),96.0,Aldo Conterno
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Bricco Boschis Vigna San Giuseppe Riserva,Oliver McCrum Wines,"N/A,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/cavallotto-2011-bricco-boschis-vigna-san-giuseppe-riserva-barolo,Not rated yet [Add Your Review],Nebbiolo,"New leather, tilled earth, dark spice, underbrush and a balsamic note mingle together on this compelling red. The full-bodied palate evokes ripe black cherry, licorice, tobacco and crushed herb while youthfully assertive noble tannins provide the framework. Hold for even more complexity. Drink 2023–2036.",Cavallotto 2011 Bricco Boschis Vigna San Giuseppe Riserva  (Barolo),96.0,Cavallotto
11%,"Burgenland, Austria",375 ml,Dessert,9/1/2017,Ruster Ausbruch Turner,"Skurnik Wines, Inc","$160,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/heidi-schrock-2014-ruster-ausbruch-turner-white-burgenland,Not rated yet [Add Your Review],White Blend,"On the nose, a blast of beeswax and honey provides heady lift. The palate is tooth-breakingly sweet but comes with that honeyed, candied-citrus thrill. Sufficient bright acidity counters all the richness. The mouthfeel is full, oily and viscous, always with that honeycomb and beeswax note, not quite tipping into the savoriness of maple syrup. Despite all the decadent sweetness, the finish is still lip-smacking, clean and endless.",Heidi Schröck 2014 Ruster Ausbruch Turner White (Burgenland),96.0,Heidi Schröck
14.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Bricco Boschis,Oliver McCrum Wines,"N/A,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/cavallotto-2013-bricco-boschis-barolo,Not rated yet [Add Your Review],Nebbiolo,"New leather, menthol, woodland berry, dark spice and a whiff of pressed rose petal are just some of the scents you'll find on this radiant red. Vibrant and loaded with finesse, the structured palate delivers juicy Maraca cherry, cranberry, white pepper, star anise and a hint of pipe tobacco while youthfully taut noble tannins and firm acidity provide an age-worthy framework. It's already stunning but needs time to develop to its full potential. Drink 2023–2043.",Cavallotto 2013 Bricco Boschis  (Barolo),96.0,Cavallotto
7.5%,"Niederösterreich, Austria",375 ml,Dessert,9/1/2017,Eiswein,"Skurnik Wines, Inc","$45,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/schloss-gobelsburg-2015-eiswein-gruner-veltliner-niederosterreich,Not rated yet [Add Your Review],Grüner Veltliner,"A cloud of otherworldly flavors enters the brain: candied pineapple, vanilla, candied peach, caramel, Mirabelle and a touch of honey. The palate presents viscous sweetness, pierced by fresh acidity that explodes completely. This is a pure, rich and aromatic Eiswein of Austria's flagship variety. Delicious now, it should cellar well through at least 2040.",Schloss Gobelsburg 2015 Eiswein Grüner Veltliner (Niederösterreich),96.0,Schloss Gobelsburg
10%,"Burgenland, Austria",375 ml,Dessert,9/1/2017,Nouvelle Vague Grande Cuvée Trockenbeerenauslese No. 6,Terlato Wines International,"$120,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/kracher-2013-nouvelle-vague-grande-cuvee-trockenbeerenauslese-no-6-white-burgenland,Not rated yet [Add Your Review],"Austrian white blend, White Blend","Candied lemon, beeswax and honey are wrapped in the sumptuous embrace of vanilla. Topnotes of passion fruit and nettle appear too, while the palate is conquered by the all-encompassing concentration of this TBA. The precise flavors have a bright, etched citrus frame that shapes and balances the sweetness. Apricot, bergamot, apple and passion fruit all make an appearance. Aromatically, the length goes on and on. It's delicious now, but should hold well through 2040, at least.",Kracher 2013 Nouvelle Vague Grande Cuvée Trockenbeerenauslese No. 6 White (Burgenland),96.0,Kracher
12%,"Niederösterreich, Austria",375 ml,Dessert,9/1/2017,Bienenfeld Beerenauslese,"Fruit of the Vines, Inc","$38,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/salomon-undhof-2009-bienenfeld-beerenauslese-riesling-niederosterreich,Not rated yet [Add Your Review],Riesling,"Golden liquid, a piercing nose, utter musk: these are the first impressions of this fragrant, botrytised win. A topnote of candied lemon hovers above the core flavor of beeswax, while bright, juicily luscious acidity makes the mouth water. This is a concentrated high-wire act, dancing between bundled sweetness and the piercing, enlivening freshness of Riesling acidity. Nothing is cloying; everything bathes in the freshness of the balancing acidity that sharpens the flavors. It's gorgous now, but will last well through 2040.",Salomon-Undhof 2009 Bienenfeld Beerenauslese Riesling (Niederösterreich),96.0,Salomon-Undhof
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Castellero,"Skurnik Wines, Inc","$55,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/giacomo-fenocchio-2013-castellero-barolo,Not rated yet [Add Your Review],Nebbiolo,"Woodland berry, new leather, dark baking spice and rose aromas are front and center on this radiant red. It's well structured and loaded with finesse, delivering morello cherry, wild strawberry, clove and star anise framed in firm refined tannins and vibrant acidity. Young and balanced, it will be even better with more bottle age. Drink 2023–2043.",Giacomo Fenocchio 2013 Castellero  (Barolo),95.0,Giacomo Fenocchio
11%,"Burgenland, Austria",187 ml,Dessert,9/1/2017,Noble Reserve Trockenbeerenauslese,Terlato Wines International,"$25,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/kracher-nv-noble-reserve-trockenbeerenauslese-white-burgenland,Not rated yet [Add Your Review],"Austrian white blend, White Blend","Apple and passion fruit are the aromatic top notes, hovering above a nose of honey and musk. Notes of honey, caramel and maple syrup seem to unite on the palate, guided and framed by the sharpest, most luminous acidity. Extremes are at work here, revealing both utter sweetness and utter acidity. Dazzling all of the senses, this wine leaves a rich aftertaste.",Kracher NV Noble Reserve Trockenbeerenauslese White (Burgenland),95.0,Kracher
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Perno,Polaner Selections,"$113,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/mascarello-giuseppe-e-figlio-2012-perno-barolo,Not rated yet [Add Your Review],Nebbiolo,"Leather, pipe tobacco, woodland berry, dark spice and crushed herb follow through to the taut linear palate along with notes of sour cherry, ground pepper and clove. It's extremely elegant but still tightly wound, with youthfully assertive tannins that need to unfold. Give this time to come together and develop complexity. Drink 2022–2032.",Mascarello Giuseppe e Figlio 2012 Perno  (Barolo),95.0,Mascarello Giuseppe e Figlio
13.5%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Serralunga d'Alba,Vineyard Brands,"$52,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/massolino-2013-serralunga-dalba-barolo,Not rated yet [Add Your Review],Nebbiolo,"Beguiling scents of fragrant berry, rose petal, baking spice, new leather and aromatic herbs swirl around in the glass. The vibrant palate is loaded with finesse, doling out morello cherry, crushed raspberry, cinnamon and star anise, while polished tannins and bright acidity provide impeccable balance. It's just gorgeous and while it's already accessible, it also shows midterm aging potential.",Massolino 2013 Serralunga d'Alba  (Barolo),95.0,Massolino
,"Haut-Médoc, Bordeaux, France",750 ml,Red,9/1/2017,,"Frederick Wildman & Sons, Ltd","$23,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-du-taillan-2015-haut-medoc,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"Leaving Bordeaux for the Médoc, this is the first estate along the road. The wine is structured and firm, with some solid tannins as well as generous blackberry fruit. The wood aging and spice balance the blueberry and blackberry fruits. The wine should age well; drink from 2021.",Château du Taillan 2015  Haut-Médoc,92.0,Château du Taillan
13.5%,"Saint-Estèphe, Bordeaux, France",750 ml,Red,9/1/2017,Cuvée Prestige,Aquitaine Wine Company,"$34,  Buy Now",Roger Voss,http://www.winemag.com/buying-guide/chateau-saint-corbian-2012-cuvee-prestige-saint-estephe,Not rated yet [Add Your Review],Bordeaux-style Red Blend,"The estate is a small enclave within the Château Tour des Termes which is owned by the same family. Half-and-half Merlot and Cabernet Sauvignon, the wine has a smoky character from the wood aging. That balances with the rich black fruits and intense fruity acidity. It is likely to be ready to drink from 2018.",Château Saint-Corbian 2012 Cuvée Prestige  (Saint-Estèphe),92.0,Château Saint-Corbian
14.1%,"Sonoma County, Sonoma, California, US",750 ml,Rose,9/1/2017,Rosé of,,"$18,  Buy Now",Virginie Boone,http://www.winemag.com/buying-guide/cosa-obra-2016-rose-of-pinot-noir-sonoma-county,Not rated yet [Add Your Review],Pinot Noir,"The fruit for this lovely wine hails from Sangiacomo Vineyard in Carneros. It offers a wealth of tangy, thirst-quenching lemon, blood orange and strawberry, so good and dry. Floral on the nose, it stands up on the palate in medium-bodied strength, finishing dry.",Cosa Obra 2016 Rosé of Pinot Noir (Sonoma County),92.0,Cosa Obra
14.5%,"Sta. Rita Hills, Central Coast, California, US",750 ml,White,9/1/2017,Machado,,"$42,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/diatom-2016-machado-chardonnay-sta-rita-hills,Not rated yet [Add Your Review],Chardonnay,"Greg Brewer resurrects his briefly shuttered brand to show what can be done on the floral edge of Chardonnay. This bottling that is very light in the glass offers tons of boisterous fruit displayed with delicacy, including tuberose, orange blossoms, lime and ripe pears. Guava powers the sip along with coconut, mango and apple-blossom flavors, wrapped in a tantalizing acidity. It would go great with sushi.",Diatom 2016 Machado Chardonnay (Sta. Rita Hills),92.0,Diatom
13%,"Côte Rôtie, Rhône Valley, France",750 ml,Red,9/1/2017,Les Grandes Places,Esprit du Vin,"$166,  Buy Now",Joe Czerwinski,http://www.winemag.com/buying-guide/domaine-jean-michel-gerin-2013-les-grandes-places-cote-rotie,Not rated yet [Add Your Review],"Syrah, Shiraz/Syrah","Gerin's lieu-dit wines from 2013 are both successful. Les Grandes Places is muscular but not musclebound, combining finesse and elegance with elements of roasted meat and grilled fruit. After 20 months in new oak, the nose reveals hints of baking spices, but those are balanced by blueberry and pepper elements. Drink 2018–2028.",Domaine Jean-Michel Gerin 2013 Les Grandes Places  (Côte Rôtie),92.0,Domaine Jean-Michel Gerin
13%,"Kamptal, Austria",750 ml,White,9/1/2017,Ried Wechselberg,Weygandt-Metzler,"$21,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/eichinger-2016-ried-wechselberg-gruner-veltliner-kamptal,Not rated yet [Add Your Review],Grüner Veltliner,"The nose is still shy but the palate has an almost-fizzing freshness that speaks of a multitude of aromas: green-apple peel, green-pear flesh, a touch of yeast and a salty, savory, peppery edge of miso. This is compact with a good creamy core in its slender and slinky body, but full of flavor and verve.",Eichinger 2016 Ried Wechselberg Grüner Veltliner (Kamptal),92.0,Eichinger
12%,"Wachau, Austria",750 ml,White,9/1/2017,Loibner Federspiel,Weygandt-Metzler,"$36,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/f-x-pichler-2016-loibner-federspiel-gruner-veltliner-wachau,Not rated yet [Add Your Review],Grüner Veltliner,"The freshness of green citrus, pale yellow fruit and dewy summer meadows plays on the nose. The earthier palate focuses on textured savoriness reminiscent of miso and soy, counterpointed by lemon freshness. Savor slowly so you do not miss anything going on in the concentrated, slender body. It finishes on a savory lemon note.",F X Pichler 2016 Loibner Federspiel Grüner Veltliner (Wachau),92.0,F X Pichler
14.1%,"Livermore Valley, Central Coast, California, US",750 ml,Red,9/1/2017,,,"$30,  Buy Now",Jim Gordon,http://www.winemag.com/buying-guide/fenestra-2013-petite-sirah-livermore-valley,Not rated yet [Add Your Review],Petite Sirah,"Hefty tannins are resolved into a velvety texture by the intense fruit and cedar flavors in this full-bodied, beautifully made wine. Notes like blueberry, dark chocolate and cocoa powder coat the palate and linger on the finish. It's thick and tannic in mouthfeel, but those tannins feel rounded and generous.",Fenestra 2013 Petite Sirah (Livermore Valley),92.0,Fenestra
14.1%,"Sta. Rita Hills, Central Coast, California, US",750 ml,White,9/1/2017,Ashley's,,"$37,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/fess-parker-2015-ashleys-chardonnay-sta-rita-hills,Not rated yet [Add Your Review],Chardonnay,"Fresh aromas of salty lemon cream, wet slate and riverstones, as well as a touch of slightly sour yogurt, show on the nose of this bottling from the vineyard named after Fess Parker's daughter, who now runs much of the company. The lively palate combines squeezes of citrus with a creamy mouthfeel that offers hints of nuts and orangesicle. It's a very cohesive wine.",Fess Parker 2015 Ashley's Chardonnay (Sta. Rita Hills),92.0,Fess Parker
14.1%,"Santa Maria Valley, Central Coast, California, US",750 ml,White,9/1/2017,Sierra Madre Vineyard,,"$40,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/fess-parker-2015-sierra-madre-vineyard-chardonnay-santa-maria-valley,Not rated yet [Add Your Review],Chardonnay,"This is an excellent Central Coast Chardonnay, from a cool, coastally influenced growing region. Browned butter, sea salt, nectarine and vanilla meet with sharp lemony freshness on the nose, while the medium-bodied palate is familiar and easy to quaff.",Fess Parker 2015 Sierra Madre Vineyard Chardonnay (Santa Maria Valley),92.0,Fess Parker
12.5%,"Kremstal, Austria",750 ml,White,9/1/2017,Hoher Rain,Blue Danube Wine Co,"$25,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/geyerhof-2016-hoher-rain-gruner-veltliner-kremstal,Not rated yet [Add Your Review],Grüner Veltliner,"Lifted lime and lemon notes appear on the shy nose, edged with soy spice. The palate follows with ripe, beautifully drawn pear fruit and even more yeasty, savory miso. Texturally this has a creamy lick and sleek midpalate concentration. The long, lovely finish brings out earthiness, pear peel and hints of lovage and chervil.",Geyerhof 2016 Hoher Rain Grüner Veltliner (Kremstal),92.0,Geyerhof
14.5%,"Anderson Valley, Mendocino/Lake Counties, California, US",750 ml,Red,9/1/2017,The Narrows Vineyard,,"$82,  Buy Now",Jim Gordon,http://www.winemag.com/buying-guide/goldeneye-2014-the-narrows-vineyard-pinot-noir-anderson-valley,Not rated yet [Add Your Review],Pinot Noir,"This wine has excellent depth, concentration and an array of subtle spices that mingle with lightly toasted oak, ripe plum and mulled-cherry flavors. Good acidity and a tart edge to the fruit lend nice balance against the full, velvety texture and rich finish.",Goldeneye 2014 The Narrows Vineyard Pinot Noir (Anderson Valley),92.0,Goldeneye
13%,"Weinviertel, Austria",750 ml,White,9/1/2017,Hundspoint,Deutsch Family Wine and Spirits,"$17,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/gruber-roschitz-2016-hundspoint-gruner-veltliner-weinviertel,Not rated yet [Add Your Review],Grüner Veltliner,"Fresh pear peel, ripe pear fruit and a touch of citrus make for an inviting, appetizing nose. The palate takes all this fruit as a backdrop on which to display both herb and spice: white pepper, chervil, miso and salt. This interplay of spice and fruit is savory, slender and vivid, giving a moreish, totally balanced wine.",Gruber Röschitz 2016 Hundspoint Grüner Veltliner (Weinviertel),92.0,Gruber Röschitz
