Name,New price,Old price,Product code,URL
Sequined Tank Top,$19.99,$34.99,58495,http://www.hm.com/us/product/58495?article=58495-A
Ribbed Top,$9.99,$17.99,57315,http://www.hm.com/us/product/57315?article=57315-C
V-neck Camisole Top,$19.99,$39.99,55497,http://www.hm.com/us/product/55497?article=55497-E
Top with Open Back,$9.99,$17.99,61028,http://www.hm.com/us/product/61028?article=61028-A
Long-sleeved Lace Top,$19.99,$24.99,38130,http://www.hm.com/us/product/38130?article=38130-C
V-neck Camisole Top,$19.99,$34.99,67857,http://www.hm.com/us/product/67857?article=67857-A
Velour Top,$14.99,$24.99,69616,http://www.hm.com/us/product/69616?article=69616-A
Short Top,$14.99,$24.99,60761,http://www.hm.com/us/product/60761?article=60761-A
Sleeveless Top,$14.99,$29.99,51196,http://www.hm.com/us/product/51196?article=51196-D
Ribbed Top,$9.99,$17.99,64983,http://www.hm.com/us/product/64983?article=64983-A
Long-sleeved Top,$14.99,$24.99,56522,http://www.hm.com/us/product/56522?article=56522-F
Jersey Top,$9.99,$14.99,64828,http://www.hm.com/us/product/64828?article=64828-D
Ribbed Jersey Top,$12.99,$24.99,39668,http://www.hm.com/us/product/39668?article=39668-B
Draped Top,$9.99,$19.99,61712,http://www.hm.com/us/product/61712?article=61712-D
Jersey Top,$9.99,$14.99,64828,http://www.hm.com/us/product/64828?article=64828-E
Short Glittery Top,$14.99,$29.99,53308,http://www.hm.com/us/product/53308?article=53308-A
Velour Top,$14.99,$24.99,69616,http://www.hm.com/us/product/69616?article=69616-C
Crushed-velvet Camisole Top,$24.99,$34.99,69676,http://www.hm.com/us/product/69676?article=69676-A
Fitted Jersey Top,$12.99,$24.99,88680,http://www.hm.com/us/product/88680?article=88680-M
Glittery Camisole Top,$17.99,$24.99,58956,http://www.hm.com/us/product/58956?article=58956-B
Ruffled Top,$17.99,$29.99,59269,http://www.hm.com/us/product/59269?article=59269-A
Halterneck Top,$19.99,$34.99,53502,http://www.hm.com/us/product/53502?article=53502-A
Long Jersey Top,$12.99,$24.99,57920,http://www.hm.com/us/product/57920?article=57920-D
Satin Peplum Top,$24.99,$34.99,56723,http://www.hm.com/us/product/56723?article=56723-A
Long-sleeved Jersey Top,$12.99,$17.99,54285,http://www.hm.com/us/product/54285?article=54285-B
Fine-knit Glittery Top,$14.99,$24.99,44550,http://www.hm.com/us/product/44550?article=44550-B
Ribbed Jersey Top,$7.99,$17.99,56300,http://www.hm.com/us/product/56300?article=56300-F
Ribbed Top,$10,$17.95,76777,http://www.hm.com/us/product/76777?article=76777-B
V-neck Bodysuit,$17.99,$24.99,60992,http://www.hm.com/us/product/60992?article=60992-B
Jersey Top with Lace,$14.99,$24.99,39074,http://www.hm.com/us/product/39074?article=39074-A
Ribbed Top,$9.99,$17.99,56889,http://www.hm.com/us/product/56889?article=56889-D
Sequined Top,$29.99,$49.99,58474,http://www.hm.com/us/product/58474?article=58474-A
Short Top with Lacing,$17.99,$29.99,62105,http://www.hm.com/us/product/62105?article=62105-A
Long-sleeved Jersey Top,$12.99,$17.99,54285,http://www.hm.com/us/product/54285?article=54285-A
Ribbed Mock Turtleneck Sweater,$19.99,$34.99,55016,http://www.hm.com/us/product/55016?article=55016-A
Glittery Camisole Top,$17.99,$24.99,58956,http://www.hm.com/us/product/58956?article=58956-A
Draped Jersey Top,$7.99,$17.99,55302,http://www.hm.com/us/product/55302?article=55302-C
V-neck Top,$17.99,$29.99,50693,http://www.hm.com/us/product/50693?article=50693-C
Lace Top,$12.99,$24.95,30892,http://www.hm.com/us/product/30892?article=30892-A
Flounced Chiffon Camisole Top,$14.99,$29.99,60809,http://www.hm.com/us/product/60809?article=60809-A
Sequined Camisole Top,$29.99,$49.99,55491,http://www.hm.com/us/product/55491?article=55491-B
Cropped Camisole Top,$14.99,$29.99,45952,http://www.hm.com/us/product/45952?article=45952-B
Camisole Top,$17.99,$34.99,41726,http://www.hm.com/us/product/41726?article=41726-A
Ribbed Sweater,$9.99,$12.99,59865,http://www.hm.com/us/product/59865?article=59865-A
Glittery Top,$34.99,$49.99,37042,http://www.hm.com/us/product/37042?article=37042-B
