Name,New price,Old price,Product code,URL
Bustier,$7.99,$14.99,67854,http://www.hm.com/us/product/67854?article=67854-C
Wide T-shirt with Chest Pocket,$12.99,$24.99,68936,http://www.hm.com/us/product/68936?article=68936-B
Jersey Top with Ruffles,$12.99,$24.99,69264,http://www.hm.com/us/product/69264?article=69264-B
V-neck Jersey Top,$9.99,$14.99,65256,http://www.hm.com/us/product/65256?article=65256-C
Jersey T-shirt,$5.99,$12.99,62231,http://www.hm.com/us/product/62231?article=62231-A
Wide T-shirt with Chest Pocket,$12.99,$24.99,68936,http://www.hm.com/us/product/68936?article=68936-A
T-shirt with Printed Design,$9.99,$14.99,65389,http://www.hm.com/us/product/65389?article=65389-C
Long Linen-blend T-shirt,$9.99,$17.99,43335,http://www.hm.com/us/product/43335?article=43335-D
V-neck Jersey Top,$5.99,$14.99,89119,http://www.hm.com/us/product/89119?article=89119-P
Long-sleeved Jersey Top,$5.99,$12.99,38141,http://www.hm.com/us/product/38141?article=38141-X
Jersey Top,$9.99,$14.99,49630,http://www.hm.com/us/product/49630?article=49630-B
Metallic Bodysuit,$9.99,$17.99,65632,http://www.hm.com/us/product/65632?article=65632-A
T-shirt with Motif,$9.99,$12.99,60675,http://www.hm.com/us/product/60675?article=60675-P
Jersey Bodysuit,$9.99,$17.99,61483,http://www.hm.com/us/product/61483?article=61483-A
Slub Jersey Top,$5.99,$12.99,54630,http://www.hm.com/us/product/54630?article=54630-H
Tank Top with Lacing,$7.99,$12.99,71478,http://www.hm.com/us/product/71478?article=71478-A
Camisole Top with Knot,$9.99,$14.99,68093,http://www.hm.com/us/product/68093?article=68093-B
Short Top,$9.99,$17.99,67864,http://www.hm.com/us/product/67864?article=67864-A
Bustier,$7.99,$14.99,67854,http://www.hm.com/us/product/67854?article=67854-B
Crêped Camisole Top,$7,$17.99,65300,http://www.hm.com/us/product/65300?article=65300-D
Sleeveless Jersey Top,$12.99,$24.99,42288,http://www.hm.com/us/product/42288?article=42288-E
Jersey Top,$5.99,$14.99,44402,http://www.hm.com/us/product/44402?article=44402-C
Ribbed Tank Top,$4.99,$6.99,69750,http://www.hm.com/us/product/69750?article=69750-B
Slub Jersey Top,$5.99,$12.99,54630,http://www.hm.com/us/product/54630?article=54630-E
Linen Scoop-neck Top,$9.99,$17.99,65666,http://www.hm.com/us/product/65666?article=65666-B
Ribbed Jersey Top,$5.99,$12.99,70480,http://www.hm.com/us/product/70480?article=70480-C
Beaded Camisole Top,$7.99,$17.99,47468,http://www.hm.com/us/product/47468?article=47468-E
Cotton T-shirt,$6.99,$12.99,64432,http://www.hm.com/us/product/64432?article=64432-E
Top with Woven Front Section,$7.99,$14.99,60953,http://www.hm.com/us/product/60953?article=60953-C
